,string,x,y
80,"move seventy-seven to the left, then go up  seventy-eight",-77,78
81,"move eighty-seven to the left, then go up  fifty-two",-87,52
82,"move twenty-four to the left, then go up  ninety-seven",-24,97
83,"move sixty-one to the left, then go up  seventy-six",-61,76
84,"move ninety to the left, then go up  fifty-five",-90,55
85,"move thirty-one to the left, then go up  sixteen",-31,16
86,"move eighty-seven to the left, then go up  forty-nine",-87,49
87,"move ninety-five to the left, then go up  sixty-two",-95,62
88,"move twenty-five to the left, then go up  twenty-five",-25,25
89,"move seventy to the left, then go up  eight",-70,8
90,"move twenty-five to the left, then go up  sixty-nine",-25,69
91,"move seventy-two to the left, then go up  forty-seven",-72,47
92,"move fifty-one to the left, then go up  thirty-seven",-51,37
93,"move six to the left, then go up  forty",-6,40
94,"move eighty-five to the left, then go up  thirty",-85,30
95,"move fifty-six to the left, then go up  fifty-seven",-56,57
96,"move sixty-six to the left, then go up  eighty-four",-66,84
97,"move sixteen to the left, then go up  sixty-five",-16,65
98,"move nineteen to the left, then go up  thirty-five",-19,35
99,"move thirty-eight to the left, then go up  twenty-two",-38,22
100,"move thirty to the left, then go up  ninety-nine",-30,99
101,"move seventy to the left, then go up  seventy-eight",-70,78
102,"move seventy-three to the left, then go up  eighteen",-73,18
103,"move nineteen to the left, then go up  fifty-three",-19,53
104,"move fifteen to the left, then go up  thirty-three",-15,33
105,"move fifteen to the left, then go up  eighty-four",-15,84
106,"move ninety-two to the left, then go up  seventy-five",-92,75
107,"move seventy-four to the left, then go up  five",-74,5
108,"move fifty-eight to the left, then go up  thirty-two",-58,32
109,"move forty-five to the left, then go up  forty-nine",-45,49
110,"move fifty-six to the left, then go up  sixty-one",-56,61
111,"move twenty-seven to the left, then go up  sixty-five",-27,65
112,"move sixty-six to the left, then go up  seventy-five",-66,75
113,"move sixty-five to the left, then go up  ninety-five",-65,95
114,"move sixty-one to the left, then go up  forty-eight",-61,48
115,"move seven to the left, then go up  sixty-five",-7,65
116,"move fifty to the left, then go up  seventy-six",-50,76
117,"move twenty-three to the left, then go up  six",-23,6
118,"move forty-six to the left, then go up  forty-three",-46,43
119,"move eighty-seven to the left, then go up  thirty-five",-87,35
120,"move four to the left, then go up  sixty-three",-4,63
121,"move twelve to the left, then go up  seventy-six",-12,76
122,"move two to the left, then go up  ninety-nine",-2,99
123,"move fifty-one to the left, then go up  two",-51,2
124,"move ninety-nine to the left, then go up  six",-99,6
125,"move seventy to the left, then go up  sixty-six",-70,66
126,"move sixty-two to the left, then go up  sixty-eight",-62,68
127,"move thirty to the left, then go up  forty-seven",-30,47
128,"move seven to the left, then go up  eighty-three",-7,83
129,"move ninety-seven to the left, then go up  fifty-seven",-97,57
130,"move ninety-nine to the left, then go up  nine",-99,9
131,"move forty-seven to the left, then go up  eighty-seven",-47,87
132,"move thirty-nine to the left, then go up  sixty-one",-39,61
133,"move fifty-five to the left, then go up  ninety-five",-55,95
134,"move twenty-nine to the left, then go up  seventy-eight",-29,78
135,"move fifty-five to the left, then go up  thirty-five",-55,35
136,"move twenty-five to the left, then go up  twenty-eight",-25,28
137,"move seventy-five to the left, then go up  forty-five",-75,45
138,"move eight to the left, then go up  sixty-two",-8,62
139,"move thirty-nine to the left, then go up  thirty-four",-39,34
140,"move ninety-one to the left, then go up  thirty-nine",-91,39
141,"move forty-one to the left, then go up  ninety-seven",-41,97
142,"move eighty-one to the left, then go up  ninety-eight",-81,98
143,"move eighty-seven to the left, then go up  twenty-five",-87,25
144,"move ninety-one to the left, then go up  ninety-six",-91,96
145,"move seventy-seven to the left, then go up  sixty-three",-77,63
146,"move seventy-three to the left, then go up  nine",-73,9
147,"move seventy-six to the left, then go up  forty",-76,40
148,"move eighty-four to the left, then go up  forty-seven",-84,47
149,"move five to the left, then go up  eighty-eight",-5,88
150,"move nine to the left, then go up  fourteen",-9,14
151,"move twenty-five to the left, then go up  two",-25,2
152,"move ten to the left, then go up  nine",-10,9
153,"move seventy-nine to the left, then go up  two",-79,2
154,"move sixty-eight to the left, then go up  ten",-68,10
155,"move forty-nine to the left, then go up  fifty-five",-49,55
156,"move one to the left, then go up  eighty",-1,80
157,"move twenty-one to the left, then go up  seventy-five",-21,75
158,"move seventy-six to the left, then go up  eighty-eight",-76,88
159,"move two to the left, then go up  seventy-two",-2,72
160,"move thirty to the left, then go up  thirty-eight",-30,38
161,"move nineteen to the left, then go up  fifteen",-19,15
162,"move five to the left, then go up  ninety-eight",-5,98
163,"move eighty-six to the left, then go up  forty-eight",-86,48
164,"move eighty-one to the left, then go up  sixty-three",-81,63
165,"move seventy-five to the left, then go up  eighty",-75,80
166,"move seventy-seven to the left, then go up  thirty-eight",-77,38
167,"move thirty-two to the left, then go up  forty-two",-32,42
168,"move thirty-five to the left, then go up  forty-nine",-35,49
169,"move sixty-three to the left, then go up  seventy-eight",-63,78
170,"move twenty-eight to the left, then go up  ninety-four",-28,94
171,"move eighty-five to the left, then go up  four",-85,4
172,"move seventy-seven to the left, then go up  one hundred",-77,100
173,"move fifty-four to the left, then go up  nineteen",-54,19
174,"move thirty-four to the left, then go up  forty-nine",-34,49
175,"move sixty-one to the left, then go up  seven",-61,7
176,"move five to the left, then go up  sixty-three",-5,63
177,"move thirty-eight to the left, then go up  ninety-eight",-38,98
178,"move thirty-six to the left, then go up  fifteen",-36,15
179,"move thirty-six to the left, then go up  forty-seven",-36,47
180,"move forty-seven to the left, then go up  ten",-47,10
181,"move ninety-two to the left, then go up  eighteen",-92,18
182,"move eighty-five to the left, then go up  twenty-nine",-85,29
183,"move thirty-two to the left, then go up  eighteen",-32,18
184,"move seventy-nine to the left, then go up  sixty-three",-79,63
185,"move ninety-eight to the left, then go up  five",-98,5
186,"move eighty-four to the left, then go up  ninety-three",-84,93
187,"move twenty-six to the left, then go up  four",-26,4
188,"move sixty-six to the left, then go up  eighty-four",-66,84
189,"move fifty-eight to the left, then go up  twenty-five",-58,25
190,"move forty-one to the left, then go up  ninety-three",-41,93
191,"move seventy-three to the left, then go up  fifty-three",-73,53
192,"move ninety-nine to the left, then go up  four",-99,4
193,"move thirteen to the left, then go up  twenty-five",-13,25
194,"move seventy-one to the left, then go up  five",-71,5
195,"move sixteen to the left, then go up  thirty-four",-16,34
196,"move three to the left, then go up  seventy-five",-3,75
197,"move sixty-eight to the left, then go up  ninety-two",-68,92
198,"move sixty-seven to the left, then go up  eighty-six",-67,86
199,"move fifty-two to the left, then go up  seventy-nine",-52,79
200,"move sixty-three to the left, then go up  seventy-seven",-63,77
201,"move nine to the left, then go up  forty-three",-9,43
202,"move nineteen to the left, then go up  sixty",-19,60
203,"move forty-eight to the left, then go up  seven",-48,7
204,"move seventy-three to the left, then go up  eighty-four",-73,84
205,"move seventy-three to the left, then go up  three",-73,3
206,"move forty to the left, then go up  eighty-one",-40,81
207,"move seventy-two to the left, then go up  fourteen",-72,14
208,"move forty-eight to the left, then go up  forty-six",-48,46
209,"move twenty-five to the left, then go up  ninety-five",-25,95
210,"move five to the left, then go up  three",-5,3
211,"move thirty-four to the left, then go up  thirty-eight",-34,38
212,"move fifteen to the left, then go up  ninety-nine",-15,99
213,"move sixty-six to the left, then go up  ninety-two",-66,92
214,"move twenty-one to the left, then go up  twenty-seven",-21,27
215,"move seventy to the left, then go up  fifty-eight",-70,58
216,"move sixty-two to the left, then go up  ninety-nine",-62,99
217,"move seventy-eight to the left, then go up  thirteen",-78,13
218,"move seven to the left, then go up  fourteen",-7,14
219,"move fifty-seven to the left, then go up  fifty-six",-57,56
220,"move seventy-two to the left, then go up  eighty-one",-72,81
221,"move seventeen to the left, then go up  four",-17,4
222,"move twenty-seven to the left, then go up  eighty-nine",-27,89
223,"move forty-eight to the left, then go up  thirty",-48,30
224,"move fifty-one to the left, then go up  sixty",-51,60
225,"move thirty-eight to the left, then go up  twenty-nine",-38,29
226,"move seventy-nine to the left, then go up  ninety-five",-79,95
227,"move sixty-six to the left, then go up  seventy-six",-66,76
228,"move thirty to the left, then go up  eighty-six",-30,86
229,"move one hundred to the left, then go up  fifty-one",-100,51
230,"move eighty-seven to the left, then go up  seventy-two",-87,72
231,"move one hundred to the left, then go up  thirty-one",-100,31
232,"move twenty-two to the left, then go up  ninety-nine",-22,99
233,"move twenty-four to the left, then go up  seventy-five",-24,75
234,"move twenty-six to the left, then go up  fifty-six",-26,56
235,"move sixty-two to the left, then go up  eighty-six",-62,86
236,"move thirteen to the left, then go up  ninety-one",-13,91
237,"move fifty-nine to the left, then go up  eighty-one",-59,81
238,"move forty-two to the left, then go up  ninety-seven",-42,97
239,"move fifty-two to the left, then go up  twenty-seven",-52,27
240,"move forty-eight to the left, then go up  fifty-five",-48,55
241,"move forty-six to the left, then go up  thirty-one",-46,31
242,"move ninety-four to the left, then go up  thirty-five",-94,35
243,"move fifteen to the left, then go up  ninety-four",-15,94
244,"move twenty-eight to the left, then go up  fifty-four",-28,54
245,"move twenty-five to the left, then go up  eighty-six",-25,86
246,"move seventy-two to the left, then go up  ninety",-72,90
247,"move sixty-three to the left, then go up  thirteen",-63,13
248,"move seventy-five to the left, then go up  fifty-one",-75,51
249,"move thirty-seven to the left, then go up  seventy-seven",-37,77
250,"move forty-two to the left, then go up  eighty-two",-42,82
251,"move forty-nine to the left, then go up  eighty-seven",-49,87
252,"move sixty-five to the left, then go up  twenty-four",-65,24
253,"move twenty-eight to the left, then go up  forty-three",-28,43
254,"move seventeen to the left, then go up  one",-17,1
255,"move thirty-six to the left, then go up  fifteen",-36,15
256,"move seventy to the left, then go up  fifty-eight",-70,58
257,"move fifty-six to the left, then go up  eighty-one",-56,81
258,"move thirty-four to the left, then go up  sixty-one",-34,61
259,"move forty-seven to the left, then go up  four",-47,4
260,"move fourteen to the left, then go up  seventy-eight",-14,78
261,"move thirteen to the left, then go up  ninety-four",-13,94
262,"move eighty-six to the left, then go up  eighty-five",-86,85
263,"move forty-three to the left, then go up  eighteen",-43,18
264,"move ninety-nine to the left, then go up  ninety-four",-99,94
265,"move thirty-one to the left, then go up  fifty-two",-31,52
266,"move thirty-six to the left, then go up  fifty-three",-36,53
267,"move sixty-eight to the left, then go up  sixty-two",-68,62
268,"move eighty-one to the left, then go up  seventy",-81,70
269,"move eighty-six to the left, then go up  thirteen",-86,13
270,"move sixty-five to the left, then go up  ninety-nine",-65,99
271,"move seventy-one to the left, then go up  two",-71,2
272,"move forty-eight to the left, then go up  twenty-nine",-48,29
273,"move seven to the left, then go up  fifty",-7,50
274,"move twenty-five to the left, then go up  sixty-six",-25,66
275,"move fifty-seven to the left, then go up  fifty-four",-57,54
276,"move forty-nine to the left, then go up  nine",-49,9
277,"move seventy-eight to the left, then go up  eighty-seven",-78,87
278,"move sixty-seven to the left, then go up  eighty-seven",-67,87
279,"move six to the left, then go up  thirty-seven",-6,37
280,"move seventy-nine to the left, then go up  thirty-two",-79,32
281,"move twenty-three to the left, then go up  ten",-23,10
282,"move seventy-six to the left, then go up  thirty-three",-76,33
283,"move twenty-one to the left, then go up  seventy-one",-21,71
284,"move sixty-one to the left, then go up  fifty-three",-61,53
285,"move twenty-three to the left, then go up  thirty-one",-23,31
286,"move eighty-two to the left, then go up  fifty-two",-82,52
287,"move sixty-one to the left, then go up  seventy-two",-61,72
288,"move sixty-four to the left, then go up  fifty-seven",-64,57
289,"move seventy to the left, then go up  twenty-six",-70,26
290,"move sixty-five to the left, then go up  thirty-seven",-65,37
291,"move fifty-six to the left, then go up  twenty-five",-56,25
292,"move thirty-seven to the left, then go up  fourteen",-37,14
293,"move thirty-eight to the left, then go up  five",-38,5
294,"move fifteen to the left, then go up  forty",-15,40
295,"move ninety-two to the left, then go up  thirty-seven",-92,37
296,"move ninety-eight to the left, then go up  forty-six",-98,46
297,"move forty-seven to the left, then go up  forty-six",-47,46
298,"move ninety-four to the left, then go up  forty-five",-94,45
299,"move twenty-three to the left, then go up  twenty-five",-23,25
300,"move seventy to the left, then go up  forty-three",-70,43
301,"move ninety-nine to the left, then go up  sixteen",-99,16
302,"move fourteen to the left, then go up  twenty-one",-14,21
303,"move seventy-four to the left, then go up  nine",-74,9
304,"move four to the left, then go up  twenty-eight",-4,28
305,"move twenty-three to the left, then go up  eleven",-23,11
306,"move fifteen to the left, then go up  ninety-seven",-15,97
307,"move fifty-one to the left, then go up  seventy-three",-51,73
308,"move thirty-four to the left, then go up  seventy",-34,70
309,"move ninety-four to the left, then go up  twelve",-94,12
310,"move eighty-seven to the left, then go up  seventeen",-87,17
311,"move ninety-nine to the left, then go up  ninety-three",-99,93
312,"move forty-six to the left, then go up  thirty-eight",-46,38
313,"move sixty-four to the left, then go up  six",-64,6
314,"move twenty-nine to the left, then go up  fourteen",-29,14
315,"move sixty-four to the left, then go up  fifteen",-64,15
316,"move eighty-seven to the left, then go up  forty-eight",-87,48
317,"move sixty-eight to the left, then go up  twenty-five",-68,25
318,"move fifty-six to the left, then go up  seventy-three",-56,73
319,"move ninety-nine to the left, then go up  ninety-four",-99,94
320,"move eighty-five to the left, then go up  sixty-four",-85,64
321,"move sixty-three to the left, then go up  eighty-seven",-63,87
322,"move one to the left, then go up  eighty-nine",-1,89
323,"move forty-six to the left, then go up  nine",-46,9
324,"move seven to the left, then go up  eight",-7,8
325,"move nine to the left, then go up  fifty-eight",-9,58
326,"move seventy-six to the left, then go up  seventy-six",-76,76
327,"move thirty-four to the left, then go up  thirty-one",-34,31
328,"move forty to the left, then go up  seventy-five",-40,75
329,"move eighty-four to the left, then go up  thirty-eight",-84,38
330,"move nine to the left, then go up  twelve",-9,12
331,"move eighty-two to the left, then go up  seventy-three",-82,73
332,"move eleven to the left, then go up  ninety-six",-11,96
333,"move nine to the left, then go up  twenty-seven",-9,27
334,"move seventy-five to the left, then go up  thirty-seven",-75,37
335,"move six to the left, then go up  fifty-four",-6,54
336,"move seven to the left, then go up  five",-7,5
337,"move ten to the left, then go up  thirty-nine",-10,39
338,"move fifty-one to the left, then go up  forty-eight",-51,48
339,"move ninety-one to the left, then go up  nine",-91,9
340,"move twenty-four to the left, then go up  eighty-three",-24,83
341,"move fifty-two to the left, then go up  forty-four",-52,44
342,"move twelve to the left, then go up  ninety-three",-12,93
343,"move ninety-six to the left, then go up  fifty-two",-96,52
344,"move one hundred to the left, then go up  thirty-six",-100,36
345,"move twenty-three to the left, then go up  ninety-three",-23,93
346,"move fifty-two to the left, then go up  thirty-one",-52,31
347,"move fifty-three to the left, then go up  sixty-nine",-53,69
348,"move thirty-eight to the left, then go up  seventy",-38,70
349,"move forty-five to the left, then go up  eighteen",-45,18
350,"move eighty-four to the left, then go up  nineteen",-84,19
351,"move eighty-two to the left, then go up  eighty-one",-82,81
352,"move thirty-five to the left, then go up  seventy-six",-35,76
353,"move fourteen to the left, then go up  eighty-one",-14,81
354,"move thirty-eight to the left, then go up  eighty-six",-38,86
355,"move thirty-three to the left, then go up  ninety-one",-33,91
356,"move sixty to the left, then go up  twenty-five",-60,25
357,"move forty-nine to the left, then go up  one",-49,1
358,"move nine to the left, then go up  five",-9,5
359,"move eighty-five to the left, then go up  sixty-eight",-85,68
360,"move forty-five to the left, then go up  fifty-three",-45,53
361,"move twenty-six to the left, then go up  five",-26,5
362,"move eighty to the left, then go up  eighty-five",-80,85
363,"move eighty to the left, then go up  eighty-one",-80,81
364,"move forty-three to the left, then go up  fifty-one",-43,51
365,"move seventy-three to the left, then go up  seventy-three",-73,73
366,"move four to the left, then go up  nine",-4,9
367,"move eighty-two to the left, then go up  forty-three",-82,43
368,"move thirty-three to the left, then go up  eighty-six",-33,86
369,"move thirty-two to the left, then go up  twenty-nine",-32,29
370,"move twenty-four to the left, then go up  seventy-three",-24,73
371,"move thirty-one to the left, then go up  eighty-five",-31,85
372,"move fifty to the left, then go up  sixty-one",-50,61
373,"move ninety-six to the left, then go up  sixty-three",-96,63
374,"move thirty-eight to the left, then go up  sixty-three",-38,63
375,"move eighty-eight to the left, then go up  sixty-six",-88,66
376,"move seventeen to the left, then go up  fifty-seven",-17,57
377,"move fifty-nine to the left, then go up  fifteen",-59,15
378,"move ninety-seven to the left, then go up  forty-two",-97,42
379,"move twenty-nine to the left, then go up  twelve",-29,12
380,"move thirty-one to the left, then go up  fifty-nine",-31,59
381,"move seventy to the left, then go up  seventy-four",-70,74
382,"move forty-eight to the left, then go up  sixty-seven",-48,67
383,"move ninety-one to the left, then go up  one",-91,1
384,"move ninety-nine to the left, then go up  ninety",-99,90
385,"move thirty-one to the left, then go up  twenty-nine",-31,29
386,"move thirty-eight to the left, then go up  twelve",-38,12
387,"move one hundred to the left, then go up  twenty-three",-100,23
388,"move ninety-seven to the left, then go up  thirty-two",-97,32
389,"move thirty-four to the left, then go up  sixty-one",-34,61
390,"move sixty-two to the left, then go up  ninety-two",-62,92
391,"move thirty-four to the left, then go up  seventy-seven",-34,77
392,"move fifteen to the left, then go up  thirty-two",-15,32
393,"move fifteen to the left, then go up  seventy",-15,70
394,"move seventy-four to the left, then go up  eight",-74,8
395,"move ninety-four to the left, then go up  fifty-seven",-94,57
396,"move seventy-three to the left, then go up  sixty",-73,60
397,"move twenty-two to the left, then go up  sixty-one",-22,61
398,"move eighty-six to the left, then go up  thirty",-86,30
399,"move seventy-eight to the left, then go up  eighty-two",-78,82
400,"move nine to the left, then go up  eight",-9,8
401,"move thirty-nine to the left, then go up  sixty-seven",-39,67
402,"move twenty-nine to the left, then go up  eighty-one",-29,81
403,"move thirty-two to the left, then go up  eighty-three",-32,83
404,"move sixteen to the left, then go up  thirty-nine",-16,39
405,"move sixty-eight to the left, then go up  nine",-68,9
406,"move ninety-six to the left, then go up  seventy",-96,70
407,"move seven to the left, then go up  sixty-one",-7,61
408,"move sixty-nine to the left, then go up  fifty-one",-69,51
409,"move ninety-two to the left, then go up  thirty-five",-92,35
410,"move ninety-six to the left, then go up  sixty-nine",-96,69
411,"move one to the left, then go up  thirty-four",-1,34
412,"move eighty to the left, then go up  twenty-four",-80,24
413,"move forty-four to the left, then go up  twenty-five",-44,25
414,"move ninety-two to the left, then go up  fifty-two",-92,52
415,"move ninety-nine to the left, then go up  seventy-five",-99,75
416,"move ninety-one to the left, then go up  ninety-five",-91,95
417,"move fifty to the left, then go up  one hundred",-50,100
418,"move thirty-five to the left, then go up  one hundred",-35,100
419,"move fifty-nine to the left, then go up  fifty-three",-59,53
420,"move thirty-seven to the left, then go up  seventy-eight",-37,78
421,"move three to the left, then go up  eighty",-3,80
422,"move seventy-four to the left, then go up  eighty",-74,80
423,"move ninety-one to the left, then go up  thirty-eight",-91,38
424,"move ninety-seven to the left, then go up  thirty-nine",-97,39
425,"move sixteen to the left, then go up  ninety-one",-16,91
426,"move thirty-eight to the left, then go up  ninety-one",-38,91
427,"move seventy-one to the left, then go up  forty-eight",-71,48
428,"move eighteen to the left, then go up  ninety-eight",-18,98
429,"move ninety-three to the left, then go up  eight",-93,8
430,"move fifty-two to the left, then go up  twenty-three",-52,23
431,"move forty-nine to the left, then go up  twenty-six",-49,26
432,"move thirteen to the left, then go up  eleven",-13,11
433,"move forty-two to the left, then go up  seventy-six",-42,76
434,"move twenty-eight to the left, then go up  forty-eight",-28,48
435,"move seventeen to the left, then go up  sixty-five",-17,65
436,"move eighty-one to the left, then go up  sixty-three",-81,63
437,"move forty-three to the left, then go up  fifty-three",-43,53
438,"move ninety-six to the left, then go up  fifty-five",-96,55
439,"move fifty-three to the left, then go up  twelve",-53,12
440,"move seven to the left, then go up  five",-7,5
441,"move ninety-five to the left, then go up  sixty",-95,60
442,"move seventy-seven to the left, then go up  seventy-five",-77,75
443,"move fifty-one to the left, then go up  twenty-four",-51,24
444,"move eighty-one to the left, then go up  nineteen",-81,19
445,"move two to the left, then go up  thirteen",-2,13
446,"move eighteen to the left, then go up  twenty",-18,20
447,"move ninety-three to the left, then go up  seventy-five",-93,75
448,"move sixty-five to the left, then go up  fifty",-65,50
449,"move thirty-nine to the left, then go up  thirty-six",-39,36
450,"move eighty-nine to the left, then go up  seventy-two",-89,72
451,"move thirty-eight to the left, then go up  ninety-one",-38,91
452,"move twenty-nine to the left, then go up  forty-four",-29,44
453,"move twelve to the left, then go up  ninety-nine",-12,99
454,"move eighty-two to the left, then go up  forty-five",-82,45
455,"move eighty-two to the left, then go up  fifty-three",-82,53
456,"move thirty-five to the left, then go up  thirty-two",-35,32
457,"move forty-two to the left, then go up  fourteen",-42,14
458,"move fifty-four to the left, then go up  forty-seven",-54,47
459,"move twenty to the left, then go up  sixty-seven",-20,67
460,"move eighty-three to the left, then go up  sixteen",-83,16
461,"move nine to the left, then go up  seventy-four",-9,74
462,"move sixty to the left, then go up  sixty-eight",-60,68
463,"move fifty to the left, then go up  forty-five",-50,45
464,"move ninety-two to the left, then go up  thirty-eight",-92,38
465,"move eleven to the left, then go up  twenty-nine",-11,29
466,"move ninety-nine to the left, then go up  fifty-nine",-99,59
467,"move twenty-nine to the left, then go up  nineteen",-29,19
468,"move sixty-six to the left, then go up  sixty-nine",-66,69
469,"move eighty-six to the left, then go up  sixty-nine",-86,69
470,"move forty to the left, then go up  twenty-four",-40,24
471,"move thirty-one to the left, then go up  twenty-two",-31,22
472,"move eighty-eight to the left, then go up  fifty-nine",-88,59
473,"move seventy-one to the left, then go up  twenty-six",-71,26
474,"move fifty-six to the left, then go up  one hundred",-56,100
475,"move eight to the left, then go up  sixty-eight",-8,68
476,"move thirty-four to the left, then go up  eighty-one",-34,81
477,"move thirty-six to the left, then go up  thirty",-36,30
478,"move seventy-eight to the left, then go up  eighty-six",-78,86
479,"move sixty-seven to the left, then go up  ten",-67,10
480,"move seventy-four to the left, then go up  twelve",-74,12
481,"move fifty-one to the left, then go up  three",-51,3
482,"move eighty-four to the left, then go up  ten",-84,10
483,"move thirty-nine to the left, then go up  three",-39,3
484,"move thirty-nine to the left, then go up  twenty-seven",-39,27
485,"move thirty to the left, then go up  eighty-eight",-30,88
486,"move forty-five to the left, then go up  one",-45,1
487,"move ninety-two to the left, then go up  thirty-nine",-92,39
488,"move fifty-nine to the left, then go up  thirty-two",-59,32
489,"move forty-four to the left, then go up  eighty-eight",-44,88
490,"move thirty-eight to the left, then go up  fifty-five",-38,55
491,"move seventeen to the left, then go up  one hundred",-17,100
492,"move four to the left, then go up  thirty-three",-4,33
493,"move fifty-two to the left, then go up  thirty-nine",-52,39
494,"move ninety-one to the left, then go up  forty-five",-91,45
495,"move twelve to the left, then go up  twelve",-12,12
496,"move fifty-four to the left, then go up  twenty",-54,20
497,"move seventy-nine to the left, then go up  seventy-five",-79,75
498,"move sixty-one to the left, then go up  nineteen",-61,19
499,"move twelve to the left, then go up  forty-two",-12,42
500,"move ninety to the left, then go up  seventy",-90,70
501,"move fifty-six to the left, then go up  fifty-one",-56,51
502,"move eighty-five to the left, then go up  sixteen",-85,16
503,"move ninety-four to the left, then go up  ninety-five",-94,95
504,"move eighteen to the left, then go up  nineteen",-18,19
505,"move twenty-five to the left, then go up  fifty-three",-25,53
506,"move forty-seven to the left, then go up  fifteen",-47,15
507,"move thirty-one to the left, then go up  thirty",-31,30
508,"move fifty-two to the left, then go up  ninety-five",-52,95
509,"move fifty-four to the left, then go up  thirty-two",-54,32
510,"move forty-six to the left, then go up  thirty-eight",-46,38
511,"move fifty-two to the left, then go up  seventy-eight",-52,78
512,"move seventy-six to the left, then go up  sixty-nine",-76,69
513,"move twenty-nine to the left, then go up  thirty-five",-29,35
514,"move ninety-two to the left, then go up  sixty-one",-92,61
515,"move forty-one to the left, then go up  sixteen",-41,16
516,"move ninety-five to the left, then go up  fifteen",-95,15
